PROJ,PROJ Description
esri:102682,NAD 1983 StatePlane Louisiana South FIPS 1702 Feet
esri:102683,NAD 1983 StatePlane Maine East FIPS 1801 Feet
esri:102684,NAD 1983 StatePlane Maine West FIPS 1802 Feet
esri:102685,NAD 1983 StatePlane Maryland FIPS 1900 Feet
esri:102686,NAD 1983 StatePlane Massachusetts Mainland FIPS 2001 Feet
esri:102687,NAD 1983 StatePlane Massachusetts Island FIPS 2002 Feet
esri:102688,NAD 1983 StatePlane Michigan North FIPS 2111 Feet
esri:102689,NAD 1983 StatePlane Michigan Central FIPS 2112 Feet
esri:102690,NAD 1983 StatePlane Michigan South FIPS 2113 Feet
esri:102691,NAD 1983 StatePlane Minnesota North FIPS 2201 Feet
esri:102692,NAD 1983 StatePlane Minnesota Central FIPS 2202 Feet
esri:102693,NAD 1983 StatePlane Minnesota South FIPS 2203 Feet
esri:102694,NAD 1983 StatePlane Mississippi East FIPS 2301 Feet
esri:102695,NAD 1983 StatePlane Mississippi West FIPS 2302 Feet
esri:102696,NAD 1983 StatePlane Missouri East FIPS 2401 Feet
esri:102697,NAD 1983 StatePlane Missouri Central FIPS 2402 Feet
esri:102698,NAD 1983 StatePlane Missouri West FIPS 2403 Feet
esri:102700,NAD 1983 StatePlane Montana FIPS 2500 Feet
esri:102704,NAD 1983 StatePlane Nebraska FIPS 2600 Feet
esri:102707,NAD 1983 StatePlane Nevada East FIPS 2701 Feet
esri:102708,NAD 1983 StatePlane Nevada Central FIPS 2702 Feet
esri:102709,NAD 1983 StatePlane Nevada West FIPS 2703 Feet
esri:102710,NAD 1983 StatePlane New Hampshire FIPS 2800 Feet
esri:102711,NAD 1983 StatePlane New Jersey FIPS 2900 Feet
esri:102712,NAD 1983 StatePlane New Mexico East FIPS 3001 Feet
esri:102713,NAD 1983 StatePlane New Mexico Central FIPS 3002 Feet
esri:102714,NAD 1983 StatePlane New Mexico West FIPS 3003 Feet
esri:102715,NAD 1983 StatePlane New York East FIPS 3101 Feet
esri:102716,NAD 1983 StatePlane New York Central FIPS 3102 Feet
esri:102717,NAD 1983 StatePlane New York West FIPS 3103 Feet
esri:102718,NAD 1983 StatePlane New York Long Island FIPS 3104 Feet
esri:102719,NAD 1983 StatePlane North Carolina FIPS 3200 Feet
esri:102720,NAD 1983 StatePlane North Dakota North FIPS 3301 Feet
esri:102721,NAD 1983 StatePlane North Dakota South FIPS 3302 Feet
esri:102722,NAD 1983 StatePlane Ohio North FIPS 3401 Feet
esri:102723,NAD 1983 StatePlane Ohio South FIPS 3402 Feet
esri:102724,NAD 1983 StatePlane Oklahoma North FIPS 3501 Feet
esri:102725,NAD 1983 StatePlane Oklahoma South FIPS 3502 Feet
esri:102726,NAD 1983 StatePlane Oregon North FIPS 3601 Feet
esri:102727,NAD 1983 StatePlane Oregon South FIPS 3602 Feet
esri:102728,NAD 1983 StatePlane Pennsylvania North FIPS 3701 Feet
esri:102729,NAD 1983 StatePlane Pennsylvania South FIPS 3702 Feet
esri:102730,NAD 1983 StatePlane Rhode Island FIPS 3800 Feet
esri:102733,NAD 1983 StatePlane South Carolina FIPS 3900 Feet
esri:102734,NAD 1983 StatePlane South Dakota North FIPS 4001 Feet
esri:102735,NAD 1983 StatePlane South Dakota South FIPS 4002 Feet
esri:102736,NAD 1983 StatePlane Tennessee FIPS 4100 Feet
esri:102737,NAD 1983 StatePlane Texas North FIPS 4201 Feet
esri:102738,NAD 1983 StatePlane Texas North Central FIPS 4202 Feet
esri:102739,NAD 1983 StatePlane Texas Central FIPS 4203 Feet
esri:102740,NAD 1983 StatePlane Texas South Central FIPS 4204 Feet
esri:102741,NAD 1983 StatePlane Texas South FIPS 4205 Feet
esri:102742,NAD 1983 StatePlane Utah North FIPS 4301 Feet
esri:102743,NAD 1983 StatePlane Utah Central FIPS 4302 Feet
esri:102744,NAD 1983 StatePlane Utah South FIPS 4303 Feet
esri:102745,NAD 1983 StatePlane Vermont FIPS 4400 Feet
esri:102746,NAD 1983 StatePlane Virginia North FIPS 4501 Feet
esri:102747,NAD 1983 StatePlane Virginia South FIPS 4502 Feet
esri:102748,NAD 1983 StatePlane Washington North FIPS 4601 Feet
esri:102749,NAD 1983 StatePlane Washington South FIPS 4602 Feet
esri:102750,NAD 1983 StatePlane West Virginia North FIPS 4701 Feet
esri:102751,NAD 1983 StatePlane West Virginia South FIPS 4702 Feet
esri:102752,NAD 1983 StatePlane Wisconsin North FIPS 4801 Feet
esri:102753,NAD 1983 StatePlane Wisconsin Central FIPS 4802 Feet
esri:102754,NAD 1983 StatePlane Wisconsin South FIPS 4803 Feet
esri:102755,NAD 1983 StatePlane Wyoming East FIPS 4901 Feet
esri:102756,NAD 1983 StatePlane Wyoming East Central FIPS 4902 Feet
esri:102757,NAD 1983 StatePlane Wyoming West Central FIPS 4903 Feet
esri:102758,NAD 1983 StatePlane Wyoming West FIPS 4904 Feet
epsg:2205,NAD83 / Kentucky North
epsg:2222,NAD83 / Arizona East (ft)
epsg:2223,NAD83 / Arizona Central (ft)
epsg:2224,NAD83 / Arizona West (ft)
epsg:2225,NAD83 / California zone 1 (ftUS)
epsg:2226,NAD83 / California zone 2 (ftUS)
epsg:2227,NAD83 / California zone 3 (ftUS)
epsg:2228,NAD83 / California zone 4 (ftUS)
epsg:2229,NAD83 / California zone 5 (ftUS)
epsg:2230,NAD83 / California zone 6 (ftUS)
epsg:2231,NAD83 / Colorado North (ftUS)
epsg:2232,NAD83 / Colorado Central (ftUS)
epsg:2233,NAD83 / Colorado South (ftUS)
epsg:2234,NAD83 / Connecticut (ftUS)
epsg:2235,NAD83 / Delaware (ftUS)
epsg:2236,NAD83 / Florida East (ftUS)
epsg:2237,NAD83 / Florida West (ftUS)
epsg:2238,NAD83 / Florida North (ftUS)
epsg:2239,NAD83 / Georgia East (ftUS)
epsg:2240,NAD83 / Georgia West (ftUS)
epsg:2241,NAD83 / Idaho East (ftUS)
epsg:2242,NAD83 / Idaho Central (ftUS)
epsg:2243,NAD83 / Idaho West (ftUS)
epsg:2244,NAD83 / Indiana East (ftUS)
epsg:2245,NAD83 / Indiana West (ftUS)
epsg:2246,NAD83 / Kentucky North (ftUS)
epsg:2247,NAD83 / Kentucky South (ftUS)
epsg:2248,NAD83 / Maryland (ftUS)
epsg:2249,NAD83 / Massachusetts Mainland (ftUS)
epsg:2250,NAD83 / Massachusetts Island (ftUS)
